错题解析,,,,
题目,考点,解析,章节, 备注
4,合规,"没有权限的情况下，保全自身的安全，和进度冲突

排除法
C: 明确公司的价值观和优先级

A: 不能照搬前任的经验，因为问题不一定一致
B 强迫， 没有解决安全问题
D 限制只能周报提交， 也没有解决核心问题",精讲《项目管理知识体系第七版》2 节,
7,敏捷负责人的职责,"敏捷负责人的职责， 避免干扰。
“关键的干系人现在已经开始参与所有的每日站会” 一般不请干系人参与站会。
干系人干扰了团队

B: 转预测不对
C: 干系人做的不对， 不能让团队改正。
D: 回顾会议一般不邀请干系人，不能选。",精讲《敏捷实践指南》 18节,
8,,,,
10,逃逸缺陷,"逃逸缺陷：团队内部没发现，被客户发现了。
直接选 B 

C 是团队速率相关的描述（不对）
D 未检测到的错误不对",精讲《敏捷实践指南》45 节,
16,,"A: 说风险是合适的， 和项目的利益相关
B 和 C 和收益没关系 排除",精讲《过程组：实践指南》38 节,
21,仆人式领导力,"用排除法做比较合适：导师就是仆人式领导力。
A: 不可能，仆人式领导，不是上级，不用汇报
B: 两人是平级的关系，不会被惩罚（可能是对的）
C: 导师不会参与具体的工作
D: 需要初级项目经理自己决策。不能代劳 （错）
E: 提醒指标，可以做",,
22,强制性依赖,"规划阶段！强制性依赖。此项目依赖于另一个项目的 IT 系统。传统项目管理，能走流程，一定不找人。

将强制性依赖包含在项目计划中

C: 将限制因素放在项目中。（正确）

A: 项目经理不能出俩外部的依赖
B: 处理；
D: 纯粹求人。不选。 能走流程绝对不求人",,
26,增量式交付,"
A: 这个是增量。每个增量去识别是不是太晚了， 应该早点计划好
B: 传统才用这个。不能实现增量交付。",精讲《敏捷实践指南》9 节,
29,回顾会议,"题干：采用新技术，能力不太够。
敏捷的方式：砍范围，提升团队效率--在回顾会讨论怎么提升

A: 做法是正确的。
B: 高价值/低投入的工作项不符合用户价值，应该是价值排序。不看投入高低排序。这里错了！
C: 雇佣, 不选
D: 替换, 不选",精讲《敏捷实践指南》42 节,
31,敏捷冲突管理,"最好，先私下，再公开
A 应该是先做的
B 项目经理不能自己去主导
C 在 A 的后面。（如果说时间特别紧张， 争论太花时间）
D 推迟，不选",精讲《敏捷实践指南》19 节,
