错题解析,,,,
题目,考点,解析,章节, 备注
1,OSCA 模型,指导组员的核心目标是个人成长， 根据个人的兴趣和目标执行内容,,不是成员的项目目标
3,沟通管理计划,项目经理很惊讶，表示第一次听到这个消息” 表示沟通有问题,,
4,产品代办列表的需求梳理,"关键 '在进行产品待办列表梳理阶段'. 
还不需要参与评审和迭代（那时产品已经做出来了）",,
6,团队章程,"会议中做错了， 按照团队章程

开会指南没有遵守",,
10,合规性， 问题处理,先分析，再解决,,我错在 审查管理计划，没有理解问题的处理形式
11,变更流程,"优先级变化
D 选项的问题是前半句对的要评估，后半句不能供发起人审核",,
15,经验教训组织过程资产,开始新项目，先看经验教训， 其他都在 C 后,,
18,项目经理的责任,"关键 “这种情况开始蔓延” 整个格团队氛围比较紧张
项目经理有义务打造一个舒适和安全的环境

A 比 B 要全面",,
25,团队速率,"key: 敏捷团队仍然收到与以前相同甚至更多的工作需求
向客户解释：人员少了，减范围 不能按照之前的容量要求",,
26,风险管理,项目团队提出的风险清单，项目经理需要先确定这些风险是否有效，然后定性风险分析，也就是优先级排序。,,名词： 挑战清单就是风险登记册
29,干系人管理,"Key：有一位干系人拒绝参加会议

干系人拒绝参与会议会导致干系人参与度不够，项目经理应当“引导其参与活动”，确保参与启动会议。由于该相关方在外地，采取虚拟会议的方式，能促成其参与",,
30,问题处理,关键词：没有按时完成。即问题，需按照问题处理流程:确认问题-分析问题-解决问题来处理。,,
33,团队建设,关键字“团队似乎有些心不在焉”，即团队绩效不太好，态度不好，需要团建,,
42,团队章程,"每日虚拟例会，但有一半团队成员经常迟到或缺席

开会问题， 查看团队章程（基本规则）

通过讨论基本规则和每日会议，可以达成共识，促进合作和遵守",,
46,合规风险. 问题处理,"Key: 将会影响项目发布 --> 风险

分析-- 应对",,
47,相关方登记册,"Key： 在项目需求收集时，以一位项目关键领导（相关方）一直被遗漏

人没有登记 --> 相关方登记册",,
49,风险管理,"Key： 发起人最近被更换，新的发起人似乎并不支持

题干中看到了“似乎”两字。干系人并没有确定不支持，还只是个风险

应该 接触干系人, 确认风险",,
53,敏捷项目经理的职责,"总裁是组织高层管理者，“敏捷培训”属于他支持敏捷推行的表现，这是管理层应该做的。但是关于项目的具体事宜，不是组织高级管理层负责的

项目经理对项目承担最终责任，导致的额外持续时间，甚至进度落后，项目经理应自己想办法",,这题比较难选， 用排除法
54,风险管理,"Key： 很多人对项目怎么进行抱有忧虑

担心 -> 风险

分析识别 -- 应对",,
56,风险处理,"他们 ‘担心’ 无法满足所有干系人的期望
",,"识别所有需求，不太可能实现。

这种事情不能交给 PO， 应该项目经理自己处理"
